Tanggal_Waktu,Status,Kondisi,Lokasi,Nilai_LDR
2026-06-27 16:15:11 WIB,AMAN,Remang-remang,Lampu kamar,3639
2026-06-27 16:25:11 WIB,AMAN,Remang-remang,Lampu kamar,3615
2026-06-27 16:35:09 WIB,AMAN,Remang-remang,Lampu kamar,3731
2026-06-27 17:15:34 WIB,AMAN,Remang-remang,Lampu kamar,3663
2026-06-27 17:25:34 WIB,BAHAYA,Gelap total,Lampu kamar,3831
Waktu tidak tersedia,BAHAYA,Gelap total,Lampu kamar,3991
2026-06-27 17:37:33 WIB,AMAN,Cahaya sangat terang,Lampu kamar,340
2026-06-27 17:47:33 WIB,BAHAYA,Gelap total,Lampu kamar,4019
2026-06-27 17:57:33 WIB,BAHAYA,Gelap total,Lampu kamar,4071
2026-06-27 18:07:33 WIB,BAHAYA,Gelap total,Lampu kamar,4099
2026-06-27 18:17:33 WIB,BAHAYA,Gelap total,Lampu kamar,4099
2026-06-27 18:27:33 WIB,BAHAYA,Gelap total,Lampu kamar,4099
2026-06-27 18:37:33 WIB,AMAN,Cahaya sangat terang,Lampu kamar,484
2026-06-27 18:47:33 WIB,AMAN,Cahaya terang,Lampu kamar,1849
2026-06-27 18:57:33 WIB,BAHAYA,Gelap total,Lampu kamar,4099
2026-06-27 19:07:33 WIB,AMAN,Cahaya terang,Lampu kamar,1457
2026-06-27 19:17:33 WIB,AMAN,Cahaya terang,Lampu kamar,1721
2026-06-27 19:27:33 WIB,AMAN,Cahaya terang,Lampu kamar,1833
2026-06-27 19:37:33 WIB,AMAN,Cahaya terang,Lampu kamar,1865
2026-06-27 19:47:33 WIB,AMAN,Cahaya terang,Lampu kamar,1873
2026-06-27 19:57:33 WIB,AMAN,Remang-remang,Lampu kamar,2662
2026-06-27 20:07:33 WIB,BAHAYA,Gelap total,Lampu kamar,3991
2026-06-27 20:17:33 WIB,AMAN,Cahaya terang,Lampu kamar,2021
2026-06-27 20:27:33 WIB,AMAN,Cahaya sangat terang,Lampu kamar,925
2026-06-27 20:37:33 WIB,BAHAYA,Gelap total,Lampu kamar,3995
2026-06-27 20:47:33 WIB,AMAN,Cahaya sangat terang,Lampu kamar,973
2026-06-27 20:57:33 WIB,AMAN,Cahaya sangat terang,Lampu kamar,993
2026-06-27 21:07:33 WIB,BAHAYA,Gelap total,Lampu kamar,3995
2026-06-27 21:17:33 WIB,AMAN,Cahaya terang,Lampu kamar,1105
2026-06-27 21:27:33 WIB,AMAN,Cahaya terang,Lampu kamar,1041
2026-06-27 21:37:33 WIB,AMAN,Cahaya terang,Lampu kamar,1069
2026-06-27 21:47:33 WIB,AMAN,Cahaya terang,Lampu kamar,1093
2026-06-27 21:57:33 WIB,AMAN,Cahaya terang,Lampu kamar,1089
2026-06-27 22:07:33 WIB,AMAN,Cahaya terang,Lampu kamar,1121
2026-06-27 22:17:33 WIB,BAHAYA,Gelap total,Lampu kamar,4099
2026-06-27 22:27:33 WIB,BAHAYA,Gelap total,Lampu kamar,4099
2026-06-27 22:37:33 WIB,AMAN,Cahaya sangat terang,Lampu kamar,1025
2026-06-27 22:57:33 WIB,AMAN,Cahaya terang,Lampu kamar,1141
2026-06-27 23:07:33 WIB,AMAN,Cahaya terang,Lampu kamar,1153
2026-06-27 23:17:33 WIB,AMAN,Cahaya terang,Lampu kamar,1177
2026-06-27 23:27:33 WIB,AMAN,Cahaya terang,Lampu kamar,1201
2026-06-27 23:37:33 WIB,AMAN,Cahaya terang,Lampu kamar,1189
2026-06-27 23:47:33 WIB,AMAN,Cahaya terang,Lampu kamar,1201
2026-06-27 23:57:33 WIB,AMAN,Cahaya terang,Lampu kamar,1209
2026-06-28 00:07:33 WIB,AMAN,Cahaya terang,Lampu kamar,1221
